top - 04:16:55 up  5:33,  1 user,  load average: 0.32, 0.26, 0.30
Tasks: 188 total,   1 running, 186 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.9 us,  0.0 sy,  0.0 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7976.4 total,   3910.4 free,   2183.9 used,   1882.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   5520.2 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
12534 root      20   0 1691492  88056  56520 S   0.0   1.1   1:11.25 kubelet
14436 nobody    20   0  754396  12420   6340 S   0.0   0.2   0:06.74 do-agent
24103 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker/u8:1-events_power_efficient
25471 root      20   0   10732   5300   4316 S   0.0   0.1   0:02.15 containerd-shim
25489 root      20   0 3606592 225480   9164 S   0.0   2.8   0:27.78 java
26341 root      20   0   10732   4672   4068 S   0.0   0.1   0:02.15 containerd-shim
26362 root      20   0 3604456 222700   9148 S   0.0   2.7   0:27.91 java
26649 root      20   0       0      0      0 I   0.0   0.0   0:01.39 kworker/1:3-rcu_gp
27331 root      20   0   10796   4856   4068 S   0.0   0.1   0:02.14 containerd-shim
27354 root      20   0 3623460 267176   9152 S   0.0   3.3   0:34.53 java
27517 root      20   0   10796   4876   4068 S   0.0   0.1   0:03.15 containerd-shim
27551 root      20   0 3618544 260048   9164 S   0.0   3.2   0:34.82 java
29860 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0-rcu_gp
32080 root      20   0   65284   7304   6304 S   0.0   0.1   0:00.19 sshd
32113 root      20   0   48892   8544   6676 S   0.0   0.1   0:00.23 systemd
32120 root      20   0  151956   3852     52 S   0.0   0.0   0:00.00 (sd-pam)
32132 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker/0:1-events
32141 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker/3:1-events
32268 root      20   0   12048   4796   3128 S   0.0   0.1   0:00.12 bash

top - 04:16:58 up  5:33,  1 user,  load average: 0.32, 0.26, 0.30
Tasks: 188 total,   1 running, 186 sleeping,   0 stopped,   1 zombie
%Cpu(s):  1.6 us,  2.0 sy,  0.0 ni, 96.3 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7976.4 total,   3909.5 free,   2184.7 used,   1882.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   5519.4 avail Mem 

