top - 04:28:23 up  5:44,  1 user,  load average: 0.19, 0.33, 0.35
Tasks: 189 total,   1 running, 187 sleeping,   0 stopped,   1 zombie
%Cpu(s):  3.1 us,  3.1 sy,  0.0 ni, 93.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7976.4 total,   4294.9 free,   1760.2 used,   1921.3 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   5943.7 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
   27 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/3
   28 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 watchdog/3
   29 root      rt   0       0      0      0 S   0.0   0.0   0:00.07 migration/3
   30 root      20   0       0      0      0 S   0.0   0.0   0:01.20 ksoftirqd/3
   32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
   33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   39 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungtaskd
   40 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   43 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   44 root      39  19       0      0      0 S   0.0   0.0   0:00.06 khugepaged
   45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
   47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
   50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
   51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   52 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   58 root      20   0       0      0      0 S   0.0   0.0   0:00.17 kswapd0
   59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:0
